time, pop_size
0,10
0.232821,9
0.344775,8
0.581236,7
0.678414,6
1.99325,7
2.08172,6
2.33483,5
5.04908,6
5.67388,7
5.76524,6
6.36181,7
6.39124,6
6.79278,7
9.26985,8
9.44137,7
10.5097,8
11.2277,9
11.875,10
12.8871,11
13.3738,12
13.7373,13
14.369,14
15.1736,15
16.6127,16
18.4976,17
19.1793,18
19.993,19
20.3816,20
20.4447,19
23.1589,20
23.6893,21
24.0596,22
26.7738,23
27.5899,24
27.6878,23
28.1827,24
28.3717,23
30.2696,24
30.3704,23
30.4676,22
30.6133,21
31.3158,22
31.6627,23
31.9234,22
32.2313,23
32.5073,22
33.1104,23
34.1684,24
34.2171,23
34.355,22
34.8943,23
35.0552,22
35.1679,21
35.8064,22
36.903,23
37.0527,22
38.251,23
38.2554,22
38.3696,21
39.0817,22
40.573,23
40.621,22
41.8726,23
42.848,24
43.7321,25
44.3937,26
44.8421,27
45.2641,28
45.7074,29
46.7723,30
47.1539,31
47.5449,32
48.4038,33
50.3561,34
51.3973,35
51.8444,36
51.918,35
52.3291,36
52.8537,37
52.8844,36
53.3919,37
54.1764,38
56.723,39
56.7243,38
57.3323,39
57.4287,38
57.5698,37
58.5664,38
58.7884,37
58.9094,36
59.1962,35
59.7222,36
59.9215,35
60.9119,36
61.7709,37
62.8711,38
63.3456,39
63.518,38
63.523,37
63.7567,36
65.0271,37
65.145,36
65.3512,35
65.584,34
67.0552,35
68.1201,36
69.2166,37
70.0396,38
70.1419,37
70.8944,38
71.2126,39
71.3719,38
71.895,39
72.4868,40
73.023,41
73.4962,42
73.6075,41
74.4398,42
76.3508,43
79.2291,44
80.4403,45
82.6319,46
83.3229,47
83.3805,46
84.0511,47
84.0688,46
84.1748,45
84.7979,46
85.3476,47
85.3602,46
87.0134,47
87.9319,48
88.121,47
88.2763,46
88.4721,45
91.5733,46
92.3237,47
93.2991,48
93.4095,47
93.7764,48
94.1627,49
94.8333,50
95.5281,51
95.6468,50
96.3512,51
99.3689,52
99.609,51
101.866,52
102.41,53
102.908,54
103.589,55
103.987,56
104.143,55
104.477,56
104.549,55
106.185,56
106.618,57
108.584,58
109.626,59
109.86,58
110.804,59
111.165,60
112.598,61
112.945,62
113.023,61
113.964,62
113.972,61
114.595,62
115.034,63
115.645,64
116.007,65
117.376,66
117.816,67
118.41,68
118.603,67
119.168,68
119.194,67
119.321,66
119.391,65
119.85,66
120.494,67
120.73,66
121.22,67
122.504,68
123.217,69
123.593,70
124.272,71
124.804,72
125.264,73
125.559,74
128.106,75
128.221,74
128.479,73
130.217,74
131.169,75
131.692,76
131.744,75
132.574,76
134.602,77
135.496,78
135.956,79
136.337,80
137.059,81
137.25,80
139.216,81
139.492,80
139.543,79
140.7,80
141.498,81
141.856,82
142.249,83
142.31,82
142.931,83
143.162,82
144.009,83
144.33,84
144.407,83
144.588,82
144.911,83
145.679,84
145.943,83
147.1,84
147.918,85
148.502,86
148.735,85
148.996,84
149.044,83
149.25,82
149.72,83
149.928,82
150.465,83
150.989,84
151.476,85
153.336,86
153.949,87
153.97,86
155.606,87
156.066,88
156.575,89
156.675,88
157.135,89
157.853,90
157.917,89
159.211,90
159.23,89
159.558,90
159.992,91
161.532,92
162.443,93
162.531,92
163.178,93
163.713,94
165.013,95
165.479,96
165.753,95
166.471,96
167.765,97
168.154,98
168.515,99
169.113,100
169.329,99
169.707,100
171.012,101
171.553,102
171.565,101
171.668,100
171.723,99
173.35,100
173.885,101
174.085,100
175.774,101
176.086,102
176.241,101
177.443,102
178.058,103
179.24,104
179.719,105
179.74,104
180.038,105
180.337,106
180.503,105
181.14,106
181.388,105
182.991,106
183.37,107
184.057,108
184.068,107
184.589,108
184.84,107
185.874,108
187.643,109
187.984,110
189.682,111
190.737,112
190.82,111
191.654,112
193.363,113
193.619,112
193.895,111
195.594,112
196.421,113
196.53,112
199.474,113
200.48,114
